Taxon_name,Status,MinAge,MaxAge,Site
Andegameryx_laugnacensis,Extinct,19.5,21.7,21235
Namacerus_gariepensis,Extinct,14.2,16.4,22345
Namibiomeryx_senuti,Extinct,17.2,19.5,22451
Brachyodus_aequatorialis,Extinct,16.4,17.2,23705
Sivameryx_africanus,Extinct,16.4,17.2,23705
Brachyodus_aequatorialis,Extinct,16.4,17.2,23707
Sivameryx_africanus,Extinct,16.4,17.2,23707
Brachyodus_aequatorialis,Extinct,16.4,17.2,23708
Sivameryx_africanus,Extinct,16.4,17.2,23708
Brachyodus_aequatorialis,Extinct,16.4,17.2,23711
Sivameryx_africanus,Extinct,16.4,17.2,23711
Brachyodus_aequatorialis,Extinct,16.4,17.2,23727
Sivameryx_africanus,Extinct,16.4,17.2,23727
Brachyodus_aequatorialis,Extinct,16.4,17.2,23734
Masritherium_aequitoralis,Extinct,16.4,17.2,23734
Masritherium_aequitoralis,Extinct,16.4,17.2,23740
Sivameryx_africanus,Extinct,16.4,17.2,23740
Brachyodus_aequatorialis,Extinct,16.4,17.2,23769
Alcelaphus_indet.,Extinct,16.4,17.2,23779
Connochaetes_taurinus,Extant,16.4,17.2,23779
Gazella_indet.,Extinct,16.4,17.2,23779
Brachyodus_aequatorialis,Extinct,16.4,17.2,23782
Brachyodus_aequatorialis,Extinct,16.4,17.2,23783
Brachyodus_indet.,Extinct,14.1815,18.60575,24265
Bachitherium_sardus,Extinct,19.5,21.7,21383
Andegameryx_andegaviensis,Extinct,19.5,21.7,21368
Andegameryx_indet.,Extinct,19.5,21.7,27151
Brachyodus_intermedius,Extinct,17.2,19.5,27855
Agriochoerus_antiquus,Extinct,32.1,33.9,10288
Agriochoerus_antiquus,Extinct,33.9,34.7,10289
Agriochoerus_antiquus,Extinct,32.1,33.9,10290
Agriochoerus_antiquus,Extinct,32.1,33.9,10352
Heptacodon_indet.,Extinct,32.1,33.9,10352
Agriochoerus_antiquus,Extinct,33.9,34.7,10384
Aepinacodon_deflectus,Extinct,33.9,34.7,10384
Agriochoerus_antiquus,Extinct,32.1,33.9,10385
Agriochoerus_sp.,Extinct,32.1,33.9,10385
Bothriodon_rostratus,Extinct,32.1,33.9,10385
Heptacodon_occidentale,Extinct,32.1,33.9,10385
Heptacodon_quadratus,Extinct,32.1,33.9,10385
Agriochoerus_antiquus,Extinct,33.9,34.7,10415
Aepinacodon_americanus,Extinct,33.9,34.7,10415
Agriochoerus_antiquus,Extinct,32.1,33.9,10416
Bothriodon_rostratus,Extinct,32.1,33.9,10416
Heptacodon_curtus,Extinct,32.1,33.9,10416
Agriochoerus_antiquus,Extinct,34.7,35.24,10760
Agriochoerus_antiquus,Extinct,32.1,33.9,10885
Agriochoerus_bullatus,Extinct,19.09,22.2,10910
Agriochoerus_trifons,Extinct,19.09,22.2,10910
Agriochoerus_crassus,Extinct,39.83,42.78,10143
Protoreodon_annectens,Extinct,39.83,42.78,10143
Agriochoerus_crassus,Extinct,37.39,39.83,11090
Protoreodon_annectens,Extinct,37.39,39.83,11090
Protoreodon_sp.,Extinct,37.39,39.83,11090
Agriochoerus_gaudryi,Extinct,28.0,29.75,10307
Agriochoerus_gaudryi,Extinct,28.0,29.75,10391
