Taxon_name,Status,MinAge,MaxAge,Site
Ailurus_fulgens,Extant,0.5824333333333299,1.29585,24064
Lynx_lynx,Extant,0.5824333333333299,1.29585,24064
Panthera_pardus,Extant,0.5824333333333299,1.29585,24064
Panthera_tigris,Extant,0.5824333333333299,1.29585,24064
Alopecocyon_goeriachensis,Extinct,11.2,12.85,21403
Amphicyon_major,Extinct,11.2,12.85,21403
Albanosmilus_jourdani,Extinct,11.2,12.85,21403
Pseudaelurus_quadridentatus,Extinct,11.2,12.85,21403
Styriofelis_lorteti,Extinct,11.2,12.85,21403
Styriofelis_turnauensis,Extinct,11.2,12.85,21403
Alopecocyon_goeriachensis,Extinct,11.2,12.85,21405
Pseudocyon_sansaniensis,Extinct,11.2,12.85,21405
Styriofelis_turnauensis,Extinct,11.2,12.85,21405
Alopecocyon_goeriachensis,Extinct,12.5,15.2,24484
Alopecocyon_goeriachensis,Extinct,14.2,16.4,27284
Pseudarctos_bavaricus,Extinct,14.2,16.4,27284
Alopecocyon_goeriachensis,Extinct,14.2,16.4,27288
Alopecocyon_goeriachensis,Extinct,14.2,16.4,27292
Agnotherium_grivense,Extinct,14.2,16.4,27292
Amphicyon_giganteus,Extinct,14.2,16.4,27292
Pseudarctos_bavaricus,Extinct,14.2,16.4,27292
Pseudocyon_sansaniensis,Extinct,14.2,16.4,27292
Pseudaelurus_romieviensis,Extinct,14.2,16.4,27292
Styriofelis_lorteti,Extinct,14.2,16.4,27292
Styriofelis_turnauensis,Extinct,14.2,16.4,27292
Alopecocyon_goeriachensis,Extinct,11.2,12.85,27301
Albanosmilus_jourdani,Extinct,11.2,12.85,27301
Pseudaelurus_quadridentatus,Extinct,11.2,12.85,27301
Styriofelis_lorteti,Extinct,11.2,12.85,27301
Styriofelis_turnauensis,Extinct,11.2,12.85,27301
Alopecocyon_indet.,Extinct,9.9,10.55,20285
Simocyon_diaphorus,Extinct,9.9,10.55,20285
Albanosmilus_jourdani,Extinct,9.9,10.55,20285
Styriofelis_lorteti,Extinct,9.9,10.55,20285
Styriofelis_turnauensis,Extinct,9.9,10.55,20285
Alopecocyon_leptorhynchus,Extinct,12.85,14.2,20002
Amphicyon_major,Extinct,12.85,14.2,20002
Pseudarctos_bavaricus,Extinct,12.85,14.2,20002
Pseudocyon_sansaniensis,Extinct,12.85,14.2,20002
Sansanosmilus_palmidens,Extinct,12.85,14.2,20002
Pseudaelurus_quadridentatus,Extinct,12.85,14.2,20002
Styriofelis_lorteti,Extinct,12.85,14.2,20002
Alopecocyon_leptorhynchus,Extinct,11.2,12.85,20004
Agnotherium_grivense,Extinct,11.2,12.85,20004
Amphicyon_major,Extinct,11.2,12.85,20004
Amphicyonopsis_serus,Extinct,11.2,12.85,20004
Pseudarctos_bavaricus,Extinct,11.2,12.85,20004
Pseudocyon_steinheimensis,Extinct,11.2,12.85,20004
Albanosmilus_jourdani,Extinct,11.2,12.85,20004
Pseudaelurus_quadridentatus,Extinct,11.2,12.85,20004
Styriofelis_lorteti,Extinct,11.2,12.85,20004
Styriofelis_turnauensis,Extinct,11.2,12.85,20004
Alopecocyon_leptorhynchus,Extinct,14.2,16.4,20011
Pseudarctos_bavaricus,Extinct,14.2,16.4,20011
Pseudocyon_steinheimensis,Extinct,14.2,16.4,20011
Pseudocyon_styriacus,Extinct,14.2,16.4,20011
Pseudaelurus_quadridentatus,Extinct,14.2,16.4,20011
Styriofelis_lorteti,Extinct,14.2,16.4,20011
Styriofelis_turnauensis,Extinct,14.2,16.4,20011
Alopecocyon_leptorhynchus,Extinct,14.2,16.4,20013
Agnotherium_grivense,Extinct,14.2,16.4,20013
Amphicyon_giganteus,Extinct,14.2,16.4,20013
Pseudarctos_bavaricus,Extinct,14.2,16.4,20013
Pseudocyon_sansaniensis,Extinct,14.2,16.4,20013
Pseudocyon_steinheimensis,Extinct,14.2,16.4,20013
Thaumastocyon_bourgeoisi,Extinct,14.2,16.4,20013
Sansanosmilus_palmidens,Extinct,14.2,16.4,20013
Pseudaelurus_quadridentatus,Extinct,14.2,16.4,20013
Styriofelis_turnauensis,Extinct,14.2,16.4,20013
Alopecocyon_leptorhynchus,Extinct,14.533333333333333,15.466666666666665,20283
Amphicyon_major,Extinct,14.533333333333333,15.466666666666665,20283
Pseudocyon_steinheimensis,Extinct,14.533333333333333,15.466666666666665,20283
Albanosmilus_jourdani,Extinct,14.533333333333333,15.466666666666665,20283
Pseudaelurus_indet.,Extinct,14.533333333333333,15.466666666666665,20283
Amphictis_aginensis,Extinct,19.5,21.7,20888
Amphicyon_astrei,Extinct,19.5,21.7,20888
Cynelos_lemanensis,Extinct,19.5,21.7,20888
Cynelos_rugosidens,Extinct,19.5,21.7,20888
Haplocyon_elegans,Extinct,19.5,21.7,20888
Haplocyonoides_mordax,Extinct,19.5,21.7,20888
Ysengrinia_indet.,Extinct,19.5,21.7,20888
Proailurus_lemanensis,Extinct,19.5,21.7,20888
Amphictis_ambigua,Extinct,23.26,23.86,28766
Amphictis_milloquensis,Extinct,23.26,23.86,28766
Amphictis_antiqua,Extinct,19.5,21.7,20870
Amphictis_lemanensis,Extinct,19.5,21.7,20870
Cynelos_crassidens,Extinct,19.5,21.7,20870
Cynelos_lemanensis,Extinct,19.5,21.7,20870
Cynelos_rugosidens,Extinct,19.5,21.7,20870
Haplocyon_crucians,Extinct,19.5,21.7,20870
Haplocyon_elegans,Extinct,19.5,21.7,20870
Ysengrinia_gerandiana,Extinct,19.5,21.7,20870
Proailurus_lemanensis,Extinct,19.5,21.7,20870
Amphictis_antiqua,Extinct,17.2,19.5,21228
Amphicyon_lathanicus,Extinct,17.2,19.5,21228
Cynelos_helbingi,Extinct,17.2,19.5,21228
Cynelos_schlosseri,Extinct,17.2,19.5,21228
Haplocyonoides_mordax,Extinct,17.2,19.5,21228
Amphictis_antiqua,Extinct,19.5,21.7,21313
Amphictis_antiqua,Extinct,17.2,19.5,27404
Amphictis_antiqua,Extinct,17.2,19.5,27430
Amphictis_antiqua,Extinct,19.5,21.7,27487
Amphictis_antiqua,Extinct,19.5,21.7,28104
Amphictis_cuspida,Extinct,13.363,14.07,23287
Amphicyon_major,Extinct,13.363,14.07,23287
Pseudaelurus_quadridentatus,Extinct,13.363,14.07,23287
Amphictis_indet.,Extinct,14.2,14.933333333333332,21285
Pseudocyon_steinheimensis,Extinct,14.2,14.933333333333332,21285
Amphictis_schlosseri,Extinct,17.34,18.5,10433
Amphicyon_galushai,Extinct,17.34,18.5,10433
Amphicyon_sp.,Extinct,17.34,18.5,10433
Borocyon_niobrarensis,Extinct,17.34,18.5,10433
Borocyon_robustum,Extinct,17.34,18.5,10433
Cynelos_sp.,Extinct,17.34,18.5,10433
Daphoenodon_sp.,Extinct,17.34,18.5,10433
Cynarctoides_acridens,Extinct,17.34,18.5,10433
Cynarctoides_emryi,Extinct,17.34,18.5,10433
Desmocyon_matthewi,Extinct,17.34,18.5,10433
Desmocyon_thomsoni,Extinct,17.34,18.5,10433
Ectopocynus_simplicidens,Extinct,17.34,18.5,10433
Leptocyon_vulpinus,Extinct,17.34,18.5,10433
Metatomarctus_canavus,Extinct,17.34,18.5,10433
Paracynarctus_kellogi,Extinct,17.34,18.5,10433
Phlaocyon_leucosteus,Extinct,17.34,18.5,10433
Phlaocyon_mariae,Extinct,17.34,18.5,10433
Phlaocyon_marslandensis,Extinct,17.34,18.5,10433
Phlaocyon_yatkolai,Extinct,17.34,18.5,10433
Amphictis_schlosseri,Extinct,21.7,23.0,21290
Amphictis_wintershofensis,Extinct,17.2,19.5,21220
Amphicyon_giganteus,Extinct,17.2,19.5,21220
