Taxon_name,Status,MinAge,MaxAge,Site
Acarictis_ryani,Extinct,55.07,55.79,10193
Arfia_junnei,Extinct,55.07,55.79,10193
Arfia_opisthotoma,Extinct,55.07,55.79,10193
Arfia_shoshoniensis,Extinct,55.07,55.79,10193
Arfia_zele,Extinct,55.07,55.79,10193
Galecyon_mordax,Extinct,55.07,55.79,10193
Prototomus_deimos,Extinct,55.07,55.79,10193
Prototomus_martis,Extinct,55.07,55.79,10193
Prototomus_phobos,Extinct,55.07,55.79,10193
Prototomus_robustus,Extinct,55.07,55.79,10193
Pyrocyon_dioctetus,Extinct,55.07,55.79,10193
Tritemnodon_strenuus,Extinct,55.07,55.79,10193
Prolimnocyon_atavus,Extinct,55.07,55.79,10193
Prolimnocyon_eerius,Extinct,55.07,55.79,10193
Prolimnocyon_haematus,Extinct,55.07,55.79,10193
Ambloctonus_priscus,Extinct,55.07,55.79,10193
Dipsalidictis_platypus,Extinct,55.07,55.79,10193
Dipsalidictis_transiens,Extinct,55.07,55.79,10193
Oxyaena_forcipata,Extinct,55.07,55.79,10193
Oxyaena_gulo,Extinct,55.07,55.79,10193
Oxyaena_intermedia,Extinct,55.07,55.79,10193
Palaeonictis_occidentalis,Extinct,55.07,55.79,10193
Acarictis_ryani,Extinct,55.79,55.96,10201
Arfia_junnei,Extinct,55.79,55.96,10201
Anasinopa_hassi,Extinct,16.4,19.5,23191
Anasinopa_indet.,Extinct,13.82,20.44,23227
Megistotherium_osteothlastes,Extinct,13.82,20.44,23227
Anasinopa_leakeyi,Extinct,16.4,17.2,23705
Hyaenodon_pilgrimi,Extinct,16.4,17.2,23705
Anasinopa_leakeyi,Extinct,16.4,17.2,23707
Hyaenodon_pilgrimi,Extinct,16.4,17.2,23707
Leakeytherium_hiwegi,Extinct,16.4,17.2,23707
Anasinopa_leakeyi,Extinct,16.4,17.2,23711
Anasinopa_leakeyi,Extinct,16.4,17.2,23727
Teratodon_spekei,Extinct,16.4,17.2,23727
Anasinopa_leakeyi,Extinct,16.4,17.2,23781
Anasinopa_leakeyi,Extinct,12.85,14.2,23831
Dissopsalis_pyroclasticus,Extinct,12.85,14.2,23831
Hyaenodon_andrewsi,Extinct,12.85,14.2,23831
Hyainailouros_nyanzae,Extinct,12.85,14.2,23831
Anasinopa_leakeyi,Extinct,14.2,16.4,23859
Hyaenodon_indet.,Extinct,14.2,16.4,23859
Anasinopa_leakeyi,Extinct,14.1815,18.60575,24265
Hyaenodon_andrewsi,Extinct,14.1815,18.60575,24265
Apterodon_gaudryi,Extinct,23.03,33.9,27695
Masrasector_indet.,Extinct,23.03,33.9,27695
Apterodon_gaudryi,Extinct,23.03,33.9,27696
Masrasector_indet.,Extinct,23.03,33.9,27696
Apterodon_gaudryi,Extinct,23.03,33.9,27697
Masrasector_indet.,Extinct,23.03,33.9,27697
Apterodon_gaudryi,Extinct,23.03,33.9,27698
Masrasector_indet.,Extinct,23.03,33.9,27698
Apterodon_indet.,Extinct,33.9,37.7,26827
Hyaenodon_indet.,Extinct,33.9,37.7,26827
Apterodon_indet.,Extinct,30.83,32.63,29035
Hyaenodon_leptorhynchus,Extinct,30.83,32.63,29035
Apterodon_macrognathus,Extinct,33.9,37.7,26974
Masrasector_sp.,Extinct,33.9,37.7,26974
Metapterodon_brachycephalus,Extinct,33.9,37.7,26974
Metapterodon_sp.,Extinct,33.9,37.7,26974
Metasinopa_ethiopica,Extinct,33.9,37.7,26974
Metasinopa_sp.,Extinct,33.9,37.7,26974
Pterodon_africanus,Extinct,33.9,37.7,26974
Pterodon_leptognathus,Extinct,33.9,37.7,26974
Pterodon_phiomensis,Extinct,33.9,37.7,26974
Apterodon_macrognathus,Extinct,27.82,33.9,26975
Metapterodon_sp.,Extinct,27.82,33.9,26975
Metasinopa_sp.,Extinct,27.82,33.9,26975
Apterodon_minutus,Extinct,27.82,33.9,26976
Apterodon_sp.,Extinct,27.82,33.9,26976
Masrasector_sp.,Extinct,27.82,33.9,26976
Metasinopa_indet.,Extinct,27.82,33.9,26976
Apterodon_sp.,Extinct,33.9,37.7,26973
Masrasector_sp.,Extinct,33.9,37.7,26973
Metasinopa_sp.,Extinct,33.9,37.7,26973
Pterodon_leptognathus,Extinct,33.9,37.7,26973
Arfia_indet.,Extinct,54.61,55.79,10336
Prototomus_viverrinus,Extinct,54.61,55.79,10336
Prolimnocyon_atavus,Extinct,54.61,55.79,10336
Dipsalidictis_transiens,Extinct,54.61,55.79,10336
Arfia_opisthotoma,Extinct,54.05,55.96,10200
Arfia_shoshoniensis,Extinct,54.05,55.96,10200
Prototomus_deimos,Extinct,54.05,55.96,10200
Prototomus_martis,Extinct,54.05,55.96,10200
Prototomus_phobos,Extinct,54.05,55.96,10200
Prototomus_robustus,Extinct,54.05,55.96,10200
Prototomus_secundarius,Extinct,54.05,55.96,10200
Tritemnodon_strenuus,Extinct,54.05,55.96,10200
Prolimnocyon_atavus,Extinct,54.05,55.96,10200
Prolimnocyon_haematus,Extinct,54.05,55.96,10200
Ambloctonus_priscus,Extinct,54.05,55.96,10200
Dipsalidictis_transiens,Extinct,54.05,55.96,10200
Oxyaena_gulo,Extinct,54.05,55.96,10200
Oxyaena_intermedia,Extinct,54.05,55.96,10200
Palaeonictis_occidentalis,Extinct,54.05,55.96,10200
Arfia_opisthotoma,Extinct,53.07,54.05,10341
