Taxon_name,Status,MinAge,MaxAge,Site
Hapalodectes_dux,Extinct,56.0,59.2,26794
Ankalagon_saurognathus,Extinct,62.22,62.52,11004
Goniacodon_levisanus,Extinct,62.22,62.52,11004
Triisodon_quivirensis,Extinct,62.22,62.52,11004
Ankalagon_saurognathus,Extinct,62.22,62.52,11005
Dissacus_navajovius,Extinct,62.22,62.52,11005
Triisodon_quivirensis,Extinct,62.22,62.52,11005
Ankalagon_saurognathus,Extinct,62.22,62.52,11006
Dissacus_navajovius,Extinct,62.22,62.52,11006
Goniacodon_crassicuspis,Extinct,62.22,62.52,11006
Goniacodon_levisanus,Extinct,62.22,62.52,11006
Baioconodon_antiquus,Extinct,64.81,64.1,10998
Eoconodon_coryphaeus,Extinct,64.81,64.1,10998
Eoconodon_gaudrianus,Extinct,64.81,64.1,10998
Eoconodon_ginibitohia,Extinct,64.81,64.1,10998
Oxyclaenus_cuspidatus,Extinct,64.81,64.1,10998
Oxyclaenus_simplex,Extinct,64.81,64.1,10998
Baioconodon_denverensis,Extinct,64.81,64.1,10158
Oxyclaenus_cuspidatus,Extinct,64.81,64.1,10158
Baioconodon_denverensis,Extinct,65.83,66.04,10330
Oxyclaenus_subbituminus,Extinct,65.83,66.04,10330
Baioconodon_denverensis,Extinct,65.83,66.04,10744
Eoconodon_indet.,Extinct,65.83,66.04,10744
Oxyclaenus_corax,Extinct,65.83,66.04,10744
Baioconodon_denverensis,Extinct,64.1,65.83,10746
Eoconodon_indet.,Extinct,64.1,65.83,10746
Oxyclaenus_corax,Extinct,64.1,65.83,10746
Baioconodon_denverensis,Extinct,64.1,65.83,10777
Oxyclaenus_simplex,Extinct,64.1,65.83,10777
Baioconodon_indet.,Extinct,64.81,64.1,10157
Oxyclaenus_indet.,Extinct,64.81,64.1,10157
Baioconodon_middletoni,Extinct,64.1,65.83,10155
Oxyclaenus_cuspidatus,Extinct,64.1,65.83,10155
Baioconodon_sp.,Extinct,64.81,65.83,11082
Dissacus_argenteus,Extinct,57.66,58.24,10169
Dissacus_navajovius,Extinct,57.66,58.24,10169
Dissacus_praenuntis,Extinct,57.66,58.24,10169
Dissacus_indet.,Extinct,58.63,59.61,10166
Dissacus_indet.,Extinct,57.66,58.24,10179
Dissacus_indet.,Extinct,59.61,61.61,10185
Dissacus_indet.,Extinct,58.63,59.61,10186
Dissacus_indet.,Extinct,53.42,54.05,10202
Hapalodectes_leptognathus,Extinct,53.42,54.05,10202
Dissacus_indet.,Extinct,58.63,59.61,10215
Dissacus_indet.,Extinct,56.54,57.04,10216
Dissacus_indet.,Extinct,54.05,55.79,10219
Pachyaena_ossifraga,Extinct,54.05,55.79,10219
Dissacus_indet.,Extinct,56.54,57.04,10234
Dissacus_indet.,Extinct,59.61,61.61,10623
Dissacus_indet.,Extinct,62.22,62.52,10783
Dissacus_indet.,Extinct,61.61,62.22,10787
Dissacus_navajovius,Extinct,55.54,55.79,10122
Wyolestes_iglesius,Extinct,55.54,55.79,10122
Dissacus_navajovius,Extinct,62.22,62.52,10163
Goniacodon_levisanus,Extinct,62.22,62.52,10163
Microclaenodon_assurgens,Extinct,62.22,62.52,10163
Stelocyon_arctylos,Extinct,62.22,62.52,10163
Dissacus_navajovius,Extinct,62.22,62.52,10176
Goniacodon_levisanus,Extinct,62.22,62.52,10176
Dissacus_navajovius,Extinct,57.04,57.24,10334
Dissacus_navajovius,Extinct,62.52,63.49,11002
Goniacodon_crassicuspis,Extinct,62.52,63.49,11002
Goniacodon_levisanus,Extinct,62.52,63.49,11002
Microclaenodon_assurgens,Extinct,62.52,63.49,11002
Triisodon_antiquus,Extinct,62.52,63.49,11002
Triisodon_quivirensis,Extinct,62.52,63.49,11002
Dissacus_navajovius,Extinct,61.61,62.22,28920
Goniacodon_levisanus,Extinct,61.61,62.22,28920
Dissacus_praenuntis,Extinct,56.54,57.04,10170
Dissacus_praenuntis,Extinct,57.04,57.24,10188
Dissacus_praenuntis,Extinct,55.96,57.04,10190
Dissacus_praenuntis,Extinct,57.24,57.66,10191
Dissacus_praenuntis,Extinct,55.96,56.54,10192
Dissacus_praenuntis,Extinct,55.07,55.79,10193
Pachyaena_ossifraga,Extinct,55.07,55.79,10193
Dissacus_serior,Extinct,52.11,53.07,10205
Hapalodectes_leptognathus,Extinct,52.11,53.07,10205
Dissacus_willwoodensis,Extinct,54.05,55.96,10200
Hapalodectes_anthracinus,Extinct,54.05,55.96,10200
Hapalodectes_leptognathus,Extinct,54.05,55.96,10200
Pachyaena_gigantea,Extinct,54.05,55.96,10200
Pachyaena_gracilis,Extinct,54.05,55.96,10200
Pachyaena_ossifraga,Extinct,54.05,55.96,10200
Wyolestes_apheles,Extinct,54.05,55.96,10200
Eoconodon_copanus,Extinct,65.83,66.04,10160
Ragnarok_nordicum,Extinct,65.83,66.04,10160
Eoconodon_copanus,Extinct,64.1,65.83,10997
Eoconodon_coryphaeus,Extinct,64.1,65.83,10997
