Taxon_name,Status,MinAge,MaxAge,Site
Lynx_lynx,Extant,0.5824333333333299,1.29585,24064
Panthera_pardus,Extant,0.5824333333333299,1.29585,24064
Panthera_tigris,Extant,0.5824333333333299,1.29585,24064
Amphicyon_major,Extinct,11.2,12.85,21403
Albanosmilus_jourdani,Extinct,11.2,12.85,21403
Pseudaelurus_quadridentatus,Extinct,11.2,12.85,21403
Styriofelis_lorteti,Extinct,11.2,12.85,21403
Styriofelis_turnauensis,Extinct,11.2,12.85,21403
Pseudocyon_sansaniensis,Extinct,11.2,12.85,21405
Styriofelis_turnauensis,Extinct,11.2,12.85,21405
Agnotherium_grivense,Extinct,14.2,16.4,27292
Amphicyon_giganteus,Extinct,14.2,16.4,27292
Pseudocyon_sansaniensis,Extinct,14.2,16.4,27292
Pseudaelurus_romieviensis,Extinct,14.2,16.4,27292
Styriofelis_lorteti,Extinct,14.2,16.4,27292
Styriofelis_turnauensis,Extinct,14.2,16.4,27292
Albanosmilus_jourdani,Extinct,11.2,12.85,27301
Pseudaelurus_quadridentatus,Extinct,11.2,12.85,27301
Styriofelis_lorteti,Extinct,11.2,12.85,27301
Styriofelis_turnauensis,Extinct,11.2,12.85,27301
Simocyon_diaphorus,Extinct,9.9,10.55,20285
Albanosmilus_jourdani,Extinct,9.9,10.55,20285
Styriofelis_lorteti,Extinct,9.9,10.55,20285
Styriofelis_turnauensis,Extinct,9.9,10.55,20285
Amphicyon_major,Extinct,12.85,14.2,20002
Pseudocyon_sansaniensis,Extinct,12.85,14.2,20002
Sansanosmilus_palmidens,Extinct,12.85,14.2,20002
Pseudaelurus_quadridentatus,Extinct,12.85,14.2,20002
Styriofelis_lorteti,Extinct,12.85,14.2,20002
Agnotherium_grivense,Extinct,11.2,12.85,20004
Amphicyon_major,Extinct,11.2,12.85,20004
Amphicyonopsis_serus,Extinct,11.2,12.85,20004
Pseudocyon_steinheimensis,Extinct,11.2,12.85,20004
Albanosmilus_jourdani,Extinct,11.2,12.85,20004
Pseudaelurus_quadridentatus,Extinct,11.2,12.85,20004
Styriofelis_lorteti,Extinct,11.2,12.85,20004
Styriofelis_turnauensis,Extinct,11.2,12.85,20004
Pseudocyon_steinheimensis,Extinct,14.2,16.4,20011
Pseudocyon_styriacus,Extinct,14.2,16.4,20011
Pseudaelurus_quadridentatus,Extinct,14.2,16.4,20011
Styriofelis_lorteti,Extinct,14.2,16.4,20011
Styriofelis_turnauensis,Extinct,14.2,16.4,20011
Agnotherium_grivense,Extinct,14.2,16.4,20013
Amphicyon_giganteus,Extinct,14.2,16.4,20013
Pseudocyon_sansaniensis,Extinct,14.2,16.4,20013
Pseudocyon_steinheimensis,Extinct,14.2,16.4,20013
Thaumastocyon_bourgeoisi,Extinct,14.2,16.4,20013
Sansanosmilus_palmidens,Extinct,14.2,16.4,20013
Pseudaelurus_quadridentatus,Extinct,14.2,16.4,20013
Styriofelis_turnauensis,Extinct,14.2,16.4,20013
Amphicyon_major,Extinct,14.533333333333333,15.466666666666665,20283
Pseudocyon_steinheimensis,Extinct,14.533333333333333,15.466666666666665,20283
Albanosmilus_jourdani,Extinct,14.533333333333333,15.466666666666665,20283
Cynelos_lemanensis,Extinct,19.5,21.7,20888
Haplocyon_elegans,Extinct,19.5,21.7,20888
Haplocyonoides_mordax,Extinct,19.5,21.7,20888
Proailurus_lemanensis,Extinct,19.5,21.7,20888
Cynelos_crassidens,Extinct,19.5,21.7,20870
Cynelos_lemanensis,Extinct,19.5,21.7,20870
Haplocyon_crucians,Extinct,19.5,21.7,20870
Haplocyon_elegans,Extinct,19.5,21.7,20870
Ysengrinia_gerandiana,Extinct,19.5,21.7,20870
Proailurus_lemanensis,Extinct,19.5,21.7,20870
Cynelos_helbingi,Extinct,17.2,19.5,21228
Cynelos_schlosseri,Extinct,17.2,19.5,21228
Haplocyonoides_mordax,Extinct,17.2,19.5,21228
Amphicyon_major,Extinct,13.363,14.07,23287
Pseudaelurus_quadridentatus,Extinct,13.363,14.07,23287
Pseudocyon_steinheimensis,Extinct,14.2,14.933333333333332,21285
Amphicyon_galushai,Extinct,17.34,18.5,10433
Borocyon_niobrarensis,Extinct,17.34,18.5,10433
Borocyon_robustum,Extinct,17.34,18.5,10433
Desmocyon_matthewi,Extinct,17.34,18.5,10433
Desmocyon_thomsoni,Extinct,17.34,18.5,10433
Ectopocynus_simplicidens,Extinct,17.34,18.5,10433
Leptocyon_vulpinus,Extinct,17.34,18.5,10433
Metatomarctus_canavus,Extinct,17.34,18.5,10433
Amphicyon_giganteus,Extinct,17.2,19.5,21220
Cynelos_helbingi,Extinct,17.2,19.5,21220
Cynelos_schlosseri,Extinct,17.2,19.5,21220
Pseudocyon_sansaniensis,Extinct,17.2,19.5,21220
Styriofelis_turnauensis,Extinct,17.2,19.5,21220
Amphicyon_major,Extinct,14.2,16.4,26696
Homotherium_crenatidens,Extinct,3.025,3.55,20757
Lynx_issiodorensis,Extinct,3.025,3.55,20757
Homotherium_crenatidens,Extinct,2.5,3.55,27940
Protursus_simpsoni,Extinct,9.721,9.786,20020
Agnotherium_antiquum,Extinct,9.721,9.786,20020
Amphicyon_major,Extinct,9.721,9.786,20020
Thaumastocyon_dirus,Extinct,9.721,9.786,20020
Albanosmilus_jourdani,Extinct,9.721,9.786,20020
Machairodus_aphanistus,Extinct,9.721,9.786,20020
Simocyon_batalleri,Extinct,9.9,11.2,20491
Simocyon_batalleri,Extinct,8.9,9.9,24833
Magericyon_anceps,Extinct,8.9,9.9,24833
Machairodus_aphanistus,Extinct,8.9,9.9,24833
Promegantereon_ogygia,Extinct,8.9,9.9,24833
Simocyon_diaphorus,Extinct,9.9,16.4,20019
Agnotherium_antiquum,Extinct,9.9,16.4,20019
Amphicyon_major,Extinct,9.9,16.4,20019
Machairodus_aphanistus,Extinct,9.9,16.4,20019
Promegantereon_ogygia,Extinct,9.9,16.4,20019
Simocyon_hungaricus,Extinct,7.6,8.9,20450
Machairodus_aphanistus,Extinct,7.6,8.9,20450
Adcrocuta_eximia,Extinct,7.6,8.9,20450
Felis_attica,Extinct,7.6,8.9,20265
Machairodus_aphanistus,Extinct,7.6,8.9,20265
Paramachaerodus_orientalis,Extinct,7.6,8.9,20265
Promegantereon_ogygia,Extinct,7.6,8.9,20265
Adcrocuta_eximia,Extinct,7.6,8.9,20265
Amphimachairodus_giganteus,Extinct,7.1,7.6,21011
Paramachaerodus_orientalis,Extinct,7.1,7.6,21011
Lokotunjailurus_emageritus,Extinct,6.04,6.108,27116
Metailurus_major,Extinct,6.04,6.108,27116
Machairodus_aphanistus,Extinct,8.9,9.9,28701
Promegantereon_ogygia,Extinct,8.9,9.9,28701
Simocyon_primigenius,Extinct,7.1,7.6,20025
Amphimachairodus_giganteus,Extinct,7.1,7.6,20025
Felis_attica,Extinct,7.1,7.6,20025
Metailurus_major,Extinct,7.1,7.6,20025
Metailurus_parvulus,Extinct,7.1,7.6,20025
Paramachaerodus_orientalis,Extinct,7.1,7.6,20025
Adcrocuta_eximia,Extinct,7.1,7.6,20025
Simocyon_primigenius,Extinct,7.1,7.6,20198
Amphimachairodus_giganteus,Extinct,7.1,7.6,20198
Metailurus_major,Extinct,7.1,7.6,20198
Metailurus_parvulus,Extinct,7.1,7.6,20198
Adcrocuta_eximia,Extinct,7.1,7.6,20198
Simocyon_primigenius,Extinct,7.1,7.6,20291
Paramachaerodus_orientalis,Extinct,7.1,7.6,20291
Adcrocuta_eximia,Extinct,7.1,7.6,20291
Simocyon_primigenius,Extinct,7.1,9.9,20304
Paramachaerodus_orientalis,Extinct,7.1,9.9,20304
Adcrocuta_eximia,Extinct,7.1,9.9,20304
Simocyon_primigenius,Extinct,7.1,7.6,21412
Eucyon_cipio,Extinct,7.1,7.6,21412
Amphimachairodus_giganteus,Extinct,7.1,7.6,21412
Metailurus_major,Extinct,7.1,7.6,21412
Paramachaerodus_orientalis,Extinct,7.1,7.6,21412
Simocyon_primigenius,Extinct,6.9365,7.14,24517
Simocyon_primigenius,Extinct,6.9365,7.14,24518
Simocyon_primigenius,Extinct,7.6,8.9,24922
Amphimachairodus_palanderi,Extinct,7.6,8.9,24922
Metailurus_parvulus,Extinct,7.6,8.9,24922
Simocyon_primigenius,Extinct,5.3,8.9,24925
Amphimachairodus_palanderi,Extinct,5.3,8.9,24925
Metailurus_major,Extinct,5.3,8.9,24925
Pseudaelurus_minor,Extinct,5.3,8.9,24925
Machairodus_aphanistus,Extinct,8.9,9.9,20074
Metailurus_parvulus,Extinct,8.9,9.9,20074
Adilophontes_brackykolos,Extinct,18.5,19.09,10313
Daphoenodon_falkenbachi,Extinct,18.5,19.09,10313
Daphoenodon_skinner,Extinct,18.5,19.09,10313
Daphoenodon_superbus,Extinct,18.5,19.09,10313
Desmocyon_thomsoni,Extinct,18.5,19.09,10313
Osbornodon_brachypus,Extinct,18.5,19.09,10313
Paraenhydrocyon_robustus,Extinct,18.5,19.09,10313
Paraenhydrocyon_wallovianus,Extinct,18.5,19.09,10313
Agnotherium_antiquum,Extinct,9.9,11.2,20092
Agnotherium_antiquum,Extinct,12.85,14.2,20143
Agnotherium_antiquum,Extinct,11.2,12.85,20144
Agnotherium_antiquum,Extinct,9.9,11.2,20434
Machairodus_aphanistus,Extinct,9.9,11.2,20434
Agnotherium_antiquum,Extinct,10.341333333333333,11.056,21533
Agnotherium_grivense,Extinct,14.2,16.4,20005
