Taxon_name,Status,MinAge,MaxAge,Site
Andegameryx_laugnacensis,Extinct,19.5,21.7,21235
Namacerus_gariepensis,Extinct,14.2,16.4,22345
Namibiomeryx_senuti,Extinct,17.2,19.5,22451
Connochaetes_taurinus,Extant,16.4,17.2,23779
Andegameryx_andegaviensis,Extinct,19.5,21.7,21368
Brachyodus_intermedius,Extinct,17.2,19.5,27855
Agriochoerus_antiquus,Extinct,32.1,33.9,10288
Agriochoerus_antiquus,Extinct,33.9,34.7,10289
Agriochoerus_antiquus,Extinct,32.1,33.9,10290
Agriochoerus_antiquus,Extinct,32.1,33.9,10352
Agriochoerus_antiquus,Extinct,33.9,34.7,10384
Aepinacodon_deflectus,Extinct,33.9,34.7,10384
Agriochoerus_antiquus,Extinct,32.1,33.9,10385
Bothriodon_rostratus,Extinct,32.1,33.9,10385
Heptacodon_occidentale,Extinct,32.1,33.9,10385
Heptacodon_quadratus,Extinct,32.1,33.9,10385
Agriochoerus_antiquus,Extinct,33.9,34.7,10415
Aepinacodon_americanus,Extinct,33.9,34.7,10415
Agriochoerus_antiquus,Extinct,32.1,33.9,10416
Bothriodon_rostratus,Extinct,32.1,33.9,10416
Heptacodon_curtus,Extinct,32.1,33.9,10416
Agriochoerus_antiquus,Extinct,34.7,35.24,10760
Agriochoerus_antiquus,Extinct,32.1,33.9,10885
Agriochoerus_crassus,Extinct,39.83,42.78,10143
Protoreodon_annectens,Extinct,39.83,42.78,10143
Agriochoerus_crassus,Extinct,37.39,39.83,11090
Protoreodon_annectens,Extinct,37.39,39.83,11090
Agriochoerus_gaudryi,Extinct,28.0,29.75,10307
Agriochoerus_gaudryi,Extinct,28.0,29.75,10391
Elomeryx_armatus,Extinct,28.0,29.75,10391
Agriochoerus_guyotianus,Extinct,29.75,32.1,10386
Elomeryx_armatus,Extinct,29.75,32.1,10386
Heptacodon_curtus,Extinct,29.75,32.1,10386
Heptacodon_occidentale,Extinct,29.75,32.1,10386
Agriochoerus_guyotianus,Extinct,28.0,31.4,10387
Elomeryx_armatus,Extinct,28.0,31.4,10387
Agriochoerus_guyotianus,Extinct,29.75,31.4,10906
Agriochoerus_guyotianus,Extinct,28.0,29.75,10907
Heptacodon_pellionis,Extinct,37.39,39.83,10749
Bothriodon_advena,Extinct,35.92,37.39,10754
Elomeryx_armatus,Extinct,32.5,33.4,10757
Elomeryx_armatus,Extinct,31.4,32.1,10761
Protoreodon_minimus,Extinct,39.83,42.78,10798
Agriochoerus_major,Extinct,33.4,33.9,10818
Agriochoerus_major,Extinct,32.1,33.9,10829
Agriochoerus_matthewi,Extinct,39.83,42.78,10142
Protoreodon_annectens,Extinct,39.83,42.78,10142
Protoreodon_petersoni,Extinct,39.83,42.78,10142
Agriochoerus_matthewi,Extinct,37.39,42.78,10606
Agriochoerus_maximus,Extinct,34.7,35.92,10276
Agriochoerus_maximus,Extinct,34.7,35.24,10277
Agriochoerus_maximus,Extinct,33.9,35.24,10807
Agriochoerus_maximus,Extinct,33.9,37.39,10808
Agriochoerus_maximus,Extinct,35.92,37.39,11109
Agriochoerus_pearcei,Extinct,39.83,42.78,10246
Protoreodon_pacificus,Extinct,39.83,42.78,10246
Agriochoerus_pearcei,Extinct,37.39,39.83,10247
