Taxon_name,Status,MinAge,MaxAge,Site
Amynodon_advenus,Extinct,39.83,42.78,10018
Amynodon_advenus,Extinct,42.78,45.38,10020
Triplopus_indet.,Extinct,42.78,45.38,10020
Amynodon_advenus,Extinct,39.83,42.78,10021
Amynodontopsis_bodei,Extinct,39.83,42.78,10021
Amynodon_advenus,Extinct,37.39,42.78,10022
Amynodontopsis_bodei,Extinct,37.39,42.78,10022
Duchesneodus_uintensis,Extinct,37.39,42.78,10022
Amynodon_advenus,Extinct,37.39,39.83,10023
Amynodon_advenus,Extinct,37.39,42.78,10031
Amynodontopsis_bodei,Extinct,37.39,42.78,10031
Duchesneodus_uintensis,Extinct,37.39,42.78,10031
Amynodon_advenus,Extinct,42.78,45.38,10140
Dolichorhinus_hyognathus,Extinct,42.78,45.38,10140
Metarhinus_abboti,Extinct,42.78,45.38,10140
Metarhinus_fluviatilis,Extinct,42.78,45.38,10140
Sphenocoelus_uintensis,Extinct,42.78,45.38,10140
Sthenodectes_incisivum,Extinct,42.78,45.38,10140
Telmatherium_sp.,Extinct,42.78,45.38,10140
Grangeria_anarsius,Extinct,42.78,45.38,10140
Epihippus_gracilis,Extinct,42.78,45.38,10140
Triplopus_obliquidens,Extinct,42.78,45.38,10140
Isectolophus_annectens,Extinct,42.78,45.38,10140
Amynodon_advenus,Extinct,39.83,42.78,10142
Diplacodon_elatus,Extinct,39.83,42.78,10142
Metatelmatherium_ultimum,Extinct,39.83,42.78,10142
Protitanotherium_emarginatum,Extinct,39.83,42.78,10142
Epihippus_gracilis,Extinct,39.83,42.78,10142
Helaletes_indet.,Extinct,39.83,42.78,10142
Epitriplopus_uintensis,Extinct,39.83,42.78,10142
Triplopus_implicatus,Extinct,39.83,42.78,10142
Triplopus_obliquidens,Extinct,39.83,42.78,10142
Isectolophus_indet.,Extinct,39.83,42.78,10142
Amynodon_advenus,Extinct,39.83,42.78,10143
Megalamynodon_regalis,Extinct,39.83,42.78,10143
Epitriplopus_uintensis,Extinct,39.83,42.78,10143
Amynodon_advenus,Extinct,39.83,42.78,10144
Epihippus_intermedius,Extinct,39.83,42.78,10144
Amynodon_advenus,Extinct,42.78,45.38,10245
Amynodon_advenus,Extinct,39.83,42.78,10246
Epihippus_gracilis,Extinct,39.83,42.78,10246
Epitriplopus_uintensis,Extinct,39.83,42.78,10246
Amynodon_advenus,Extinct,47.96,48.64,10267
Palaeosyops_indet.,Extinct,47.96,48.64,10267
Epihippus_gracilis,Extinct,47.96,48.64,10267
Helaletes_indet.,Extinct,47.96,48.64,10267
Amynodon_advenus,Extinct,45.38,47.96,10268
Epihippus_uintensis,Extinct,45.38,47.96,10268
Epitriplopus_uintensis,Extinct,45.38,47.96,10268
Amynodon_advenus,Extinct,45.38,47.96,10273
Mesatirhinus_junius,Extinct,45.38,47.96,10273
Metarhinus_fluviatilis,Extinct,45.38,47.96,10273
Metatelmatherium_ultimum,Extinct,45.38,47.96,10273
Sphenocoelus_uintensis,Extinct,45.38,47.96,10273
Sthenodectes_incisivum,Extinct,45.38,47.96,10273
Eomoropus_amarorum,Extinct,45.38,47.96,10273
Triplopus_cubitalis,Extinct,45.38,47.96,10273
Triplopus_implicatus,Extinct,45.38,47.96,10273
Amynodon_advenus,Extinct,42.78,45.38,10274
Triplopus_obliquidens,Extinct,42.78,45.38,10274
Amynodon_advenus,Extinct,39.83,42.78,10798
Amynodontopsis_bodei,Extinct,39.83,42.78,10798
Megalamynodon_regalis,Extinct,39.83,42.78,10798
Epihippus_uintensis,Extinct,39.83,42.78,10798
Helaletes_nanus,Extinct,39.83,42.78,10798
Triplopus_rhinocerinus,Extinct,39.83,42.78,10798
Amynodon_advenus,Extinct,39.83,42.78,11086
Epihippus_gracilis,Extinct,39.83,42.78,11086
Triplopus_indet.,Extinct,39.83,42.78,11086
Amynodon_advenus,Extinct,42.78,45.38,11087
Protitanotherium_emarginatum,Extinct,42.78,45.38,11087
Epihippus_indet.,Extinct,42.78,45.38,11087
Orohippus_indet.,Extinct,42.78,45.38,11087
Triplopus_rhinocerinus,Extinct,42.78,45.38,11087
Amynodon_advenus,Extinct,39.83,42.78,11093
Epihippus_gracilis,Extinct,39.83,42.78,11093
Triplopus_implicatus,Extinct,39.83,42.78,11093
Amynodon_reedi,Extinct,45.38,47.96,10016
Metarhinus_indet.,Extinct,45.38,47.96,10016
Amynodontopsis_bodei,Extinct,37.39,39.83,10381
Duchesneodus_uintensis,Extinct,37.39,39.83,10381
Epihippus_intermedius,Extinct,37.39,39.83,10381
Epihippus_uintensis,Extinct,37.39,39.83,10381
Amynodontopsis_bodei,Extinct,37.39,39.83,11090
Duchesneodus_uintensis,Extinct,37.39,39.83,11090
Cadurcodon_ardynensis,Extinct,37.7,41.2,28082
Epimanteoceras_indet.,Extinct,37.7,41.2,28082
Hsanotherium_parvum,Extinct,41.266666666666666,44.95,24074
