Taxon_name,Status,MinAge,MaxAge,Site
Archaeobelodon_filholi,Extinct,12.85,14.2,20002
Deinotherium_giganteum,Extinct,12.85,14.2,20002
Prodeinotherium_bavaricum,Extinct,12.85,14.2,20002
Gomphotherium_angustidens,Extinct,12.85,14.2,20002
Zygolophodon_turicensis,Extinct,12.85,14.2,20002
Archaeobelodon_filholi,Extinct,16.4,17.2,20007
Archaeobelodon_filholi,Extinct,16.4,17.2,20008
Prodeinotherium_bavaricum,Extinct,16.4,17.2,20008
Gomphotherium_angustidens,Extinct,16.4,17.2,20008
Zygolophodon_turicensis,Extinct,16.4,17.2,20008
Archaeobelodon_filholi,Extinct,12.85,14.2,20009
Prodeinotherium_bavaricum,Extinct,12.85,14.2,20009
Gomphotherium_angustidens,Extinct,12.85,14.2,20009
Archaeobelodon_filholi,Extinct,16.4,17.2,20077
Prodeinotherium_cuvieri,Extinct,16.4,17.2,20077
Gomphotherium_angustidens,Extinct,16.4,17.2,20077
Archaeobelodon_filholi,Extinct,11.2,12.85,21735
Zygolophodon_turicensis,Extinct,11.2,12.85,21735
Archaeobelodon_filholi,Extinct,15.0,19.2,23215
Prodeinotherium_hobleyi,Extinct,15.0,19.2,23215
Archaeobelodon_filholi,Extinct,16.4,17.2,23262
Prodeinotherium_hobleyi,Extinct,16.4,17.2,23262
Afrochoerodon_kisumuensis,Extinct,16.4,17.2,23262
Gomphotherium_angustidens,Extinct,16.4,17.2,23262
Protanancus_macinnesi,Extinct,16.4,17.2,23262
Archaeobelodon_filholi,Extinct,14.2,17.2,26871
Prodeinotherium_hobleyi,Extinct,14.2,17.2,26871
Gomphotherium_indet.,Extinct,14.2,17.2,26871
Archaeobelodon_filholi,Extinct,14.2,16.4,27286
Prodeinotherium_bavaricum,Extinct,14.2,16.4,27286
Gomphotherium_angustidens,Extinct,14.2,16.4,27286
Archaeobelodon_filholi,Extinct,14.2,16.4,27290
Prodeinotherium_bavaricum,Extinct,14.2,16.4,27290
Gomphotherium_angustidens,Extinct,14.2,16.4,27290
Zygolophodon_turicensis,Extinct,14.2,16.4,27290
Archaeobelodon_filholi,Extinct,14.2,16.4,27473
Archaeobelodon_indet.,Extinct,16.4,17.2,23194
Archaeobelodon_indet.,Extinct,15.9512,19.4906,23265
Afrochoerodon_kisumuensis,Extinct,15.9512,19.4906,23265
Gomphotherium_angustidens,Extinct,15.9512,19.4906,23265
Zygolophodon_aegyptensis,Extinct,15.9512,19.4906,23265
Archaeobelodon_indet.,Extinct,16.4,17.2,23705
Prodeinotherium_hobleyi,Extinct,16.4,17.2,23705
Eozygodon_morotoensis,Extinct,16.4,17.2,23705
Archaeobelodon_indet.,Extinct,16.4,17.2,23706
Prodeinotherium_hobleyi,Extinct,16.4,17.2,23706
Archaeobelodon_indet.,Extinct,16.4,17.2,23707
Prodeinotherium_hobleyi,Extinct,16.4,17.2,23707
Eozygodon_morotoensis,Extinct,16.4,17.2,23707
Archaeobelodon_indet.,Extinct,16.4,17.2,23708
Prodeinotherium_hobleyi,Extinct,16.4,17.2,23708
Archaeobelodon_indet.,Extinct,16.4,17.2,23711
Prodeinotherium_hobleyi,Extinct,16.4,17.2,23711
Archaeobelodon_indet.,Extinct,16.4,17.2,23713
Prodeinotherium_hobleyi,Extinct,16.4,17.2,23713
Archaeobelodon_indet.,Extinct,16.4,17.2,23719
Prodeinotherium_hobleyi,Extinct,16.4,17.2,23719
Archaeobelodon_indet.,Extinct,16.4,17.2,23724
Prodeinotherium_hobleyi,Extinct,16.4,17.2,23724
Archaeobelodon_indet.,Extinct,16.4,17.2,23728
Prodeinotherium_hobleyi,Extinct,16.4,17.2,23728
Archaeobelodon_indet.,Extinct,16.4,17.2,23729
Prodeinotherium_hobleyi,Extinct,16.4,17.2,23729
Archaeobelodon_indet.,Extinct,16.4,17.2,23734
Prodeinotherium_hobleyi,Extinct,16.4,17.2,23734
Archaeobelodon_indet.,Extinct,19.7,20.4,23737
Archaeobelodon_indet.,Extinct,16.4,17.2,23740
Prodeinotherium_hobleyi,Extinct,16.4,17.2,23740
Archaeobelodon_indet.,Extinct,17.2,19.5,23750
Archaeobelodon_indet.,Extinct,17.2,19.5,23751
Archaeobelodon_indet.,Extinct,16.4,17.2,23769
Prodeinotherium_hobleyi,Extinct,16.4,17.2,23769
Archaeobelodon_indet.,Extinct,16.4,17.2,23770
Archaeobelodon_indet.,Extinct,16.4,17.2,23773
Prodeinotherium_hobleyi,Extinct,16.4,17.2,23773
Archaeobelodon_indet.,Extinct,16.4,17.2,23774
Archaeobelodon_indet.,Extinct,16.4,17.2,23783
Prodeinotherium_hobleyi,Extinct,16.4,17.2,23783
Archaeobelodon_indet.,Extinct,16.4,17.2,23785
Archaeobelodon_indet.,Extinct,16.96,20.0805,26812
Prodeinotherium_hobleyi,Extinct,16.96,20.0805,26812
Platybelodon_indet.,Extinct,16.96,20.0805,26812
Archaeobelodon_indet.,Extinct,14.2,16.4,23859
Prodeinotherium_hobleyi,Extinct,14.2,16.4,23859
Platybelodon_indet.,Extinct,14.2,16.4,23859
Barytherium_graves,Extinct,33.9,37.7,26827
Moeritherium_lyonsi,Extinct,33.9,37.7,26827
Barytherium_graves,Extinct,27.82,33.9,26828
Moeritherium_indet.,Extinct,27.82,33.9,26828
Palaeomastodon_indet.,Extinct,27.82,33.9,26828
Barytherium_graves,Extinct,33.9,37.7,26829
Phiomia_indet.,Extinct,33.9,37.7,26829
Moeritherium_lyonsi,Extinct,33.9,37.7,26829
Barytherium_indet.,Extinct,36.433333333333344,37.7,24929
Moeritherium_indet.,Extinct,36.433333333333344,37.7,24929
Barytherium_indet.,Extinct,33.9,37.7,26859
Moeritherium_indet.,Extinct,33.9,37.7,26859
Chilgatherium_harrisi,Extinct,27.36,27.439,23021
Gomphotherium_sp.,Extinct,27.36,27.439,23021
Palaeomastodon_sp.,Extinct,27.36,27.439,23021
Palaeomastodon_sp.,Extinct,27.36,27.439,23021
Phiomia_major,Extinct,27.36,27.439,23021
Deinotherium_bozasi,Extinct,5.3,7.1,20310
Anancus_osiris,Extinct,5.3,7.1,20310
Deinotherium_bozasi,Extinct,9.786,9.937000000000001,21757
Choerolophodon_indet.,Extinct,9.786,9.937000000000001,21757
Deinotherium_bozasi,Extinct,4.07,4.17,22918
Elephas_ekorensis,Extinct,4.07,4.17,22918
Loxodonta_adaurora,Extinct,4.07,4.17,22918
Anancus_kenyensis,Extinct,4.07,4.17,22918
Deinotherium_bozasi,Extinct,6.54,7.44,23206
Primelephas_gomphotheroides,Extinct,6.54,7.44,23206
Stegotetrabelodon_orbus,Extinct,6.54,7.44,23206
Anancus_kenyensis,Extinct,6.54,7.44,23206
Deinotherium_bozasi,Extinct,5.3,6.54,23207
Elephas_nawatensis,Extinct,5.3,6.54,23207
Stegotetrabelodon_orbus,Extinct,5.3,6.54,23207
Anancus_kenyensis,Extinct,5.3,6.54,23207
Deinotherium_bozasi,Extinct,4.2,5.3,23208
Elephas_ekorensis,Extinct,4.2,5.3,23208
Loxodonta_exoptata,Extinct,4.2,5.3,23208
Stegotetrabelodon_orbus,Extinct,4.2,5.3,23208
Anancus_kenyensis,Extinct,4.2,5.3,23208
Deinotherium_bozasi,Extinct,3.6,5.332999999999999,23229
Deinotherium_bozasi,Extinct,3.6,5.332999999999999,23233
Loxodonta_exoptata,Extinct,3.6,5.332999999999999,23233
Stegodon_kaisensis,Extinct,3.6,5.332999999999999,23233
Deinotherium_bozasi,Extinct,0.774,1.8,23246
Elephas_recki,Extinct,0.774,1.8,23246
Loxodonta_indet.,Extinct,0.774,1.8,23246
Deinotherium_bozasi,Extinct,5.7,5.7,23249
Primelephas_saitunensis,Extinct,5.7,5.7,23249
Anancus_kenyensis,Extinct,5.7,5.7,23249
Deinotherium_bozasi,Extinct,2.58,3.6,23252
Elephas_recki,Extinct,2.58,3.6,23252
Deinotherium_bozasi,Extinct,3.2,3.446,23670
Elephas_ekorensis,Extinct,3.2,3.446,23670
Loxodonta_adaurora,Extinct,3.2,3.446,23670
Mammuthus_indet.,Extinct,3.2,3.446,23670
Deinotherium_bozasi,Extinct,3.18,3.2,23671
Elephas_ekorensis,Extinct,3.18,3.2,23671
Elephas_recki,Extinct,3.18,3.2,23671
Loxodonta_adaurora,Extinct,3.18,3.2,23671
Loxodonta_exoptata,Extinct,3.18,3.2,23671
Mammuthus_indet.,Extinct,3.18,3.2,23671
Deinotherium_bozasi,Extinct,2.7,2.88,23672
Elephas_recki,Extinct,2.7,2.88,23672
Deinotherium_bozasi,Extinct,2.58,3.6,23673
Elephas_ekorensis,Extinct,2.58,3.6,23673
Deinotherium_bozasi,Extinct,1.9,2.33,23682
Elephas_recki,Extinct,1.9,2.33,23682
Deinotherium_bozasi,Extinct,2.33,2.36,23683
Elephas_recki,Extinct,2.33,2.36,23683
Deinotherium_bozasi,Extinct,2.36,2.4,23684
Elephas_recki,Extinct,2.36,2.4,23684
Deinotherium_bozasi,Extinct,2.4,2.52,23685
Elephas_recki,Extinct,2.4,2.52,23685
Loxodonta_atlantica,Extinct,2.4,2.52,23685
Deinotherium_bozasi,Extinct,2.52,2.85,23686
Elephas_recki,Extinct,2.52,2.85,23686
Loxodonta_adaurora,Extinct,2.52,2.85,23686
Deinotherium_bozasi,Extinct,2.85,3.4,23687
Elephas_recki,Extinct,2.85,3.4,23687
Stegodon_kaisensis,Extinct,2.85,3.4,23687
Deinotherium_bozasi,Extinct,3.4,3.6,23688
Elephas_recki,Extinct,3.4,3.6,23688
Loxodonta_adaurora,Extinct,3.4,3.6,23688
Deinotherium_bozasi,Extinct,7.246,11.63,23796
Choerolophodon_ngorora,Extinct,7.246,11.63,23796
Deinotherium_bozasi,Extinct,2.58,5.332999999999999,23820
Archidiskodon_nyanzae,Extinct,2.58,5.332999999999999,23820
Loxodonta_adaurora,Extinct,2.58,5.332999999999999,23820
Primelephas_gomphotheroides,Extinct,2.58,5.332999999999999,23820
Anancus_kenyensis,Extinct,2.58,5.332999999999999,23820
Deinotherium_bozasi,Extinct,2.58,5.332999999999999,23821
Archidiskodon_nyanzae,Extinct,2.58,5.332999999999999,23821
Loxodonta_adaurora,Extinct,2.58,5.332999999999999,23821
Anancus_kenyensis,Extinct,2.58,5.332999999999999,23821
Deinotherium_bozasi,Extinct,2.58,5.332999999999999,23823
Anancus_kenyensis,Extinct,2.58,5.332999999999999,23823
Deinotherium_bozasi,Extinct,2.58,5.332999999999999,23825
Deinotherium_bozasi,Extinct,2.58,5.332999999999999,23826
Deinotherium_bozasi,Extinct,1.785,1.845,23858
Elephas_recki,Extinct,1.785,1.845,23858
Anancus_kenyensis,Extinct,1.785,1.845,23858
Deinotherium_bozasi,Extinct,5.2,5.2,23909
Loxodonta_indet.,Extinct,5.2,5.2,23909
Primelephas_gomphotheroides,Extinct,5.2,5.2,23909
Anancus_kenyensis,Extinct,5.2,5.2,23909
Deinotherium_bozasi,Extinct,3.6,7.246,23926
Deinotherium_bozasi,Extinct,1.8,5.332999999999999,23931
Elephas_recki,Extinct,1.8,5.332999999999999,23931
Loxodonta_adaurora,Extinct,1.8,5.332999999999999,23931
